devicekey,devicename,productname,productid,numberofcpu,virtualserialnumber,memorysize,romversion,serialnumber,assettag,osname,ipaddress,iplongvalue,osvendor,snapshotid,deviceowner,location,producttype,devicestatus,deviceboottime,productsubtype,producttypestr,serverrole,ipxaddress
20,s2-uat-tcs7-vip,"","",0,,0,"","","","",10.130.45.16,176303376,"",,,"",0,1,,None,Unmanaged,,
21,10.128.200.74,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE851JCF7,"",Embedded,10.128.200.74,176212042,HP,,,"",12,1,,ILO2,MgmtProc,,
22,wdc-devtest3-2-vmotion,ProLiant BL680c G5,"",4,,0,"",USE851JCF7,Asset Tag: 00040996,VMware ESXi Alternate Boot Bank,10.128.68.76,176178252,VMware,-1,,"",1,1,,VMHost,Server,,
23,10.128.200.83,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4S,"",Embedded,10.128.200.83,176212051,HP,,,"",12,1,,ILO2,MgmtProc,,
24,USE006XD4S,ProLiant BL685c G6,"",0,,0,"",USE006XD4S,"","",,,"",,,"",1,1,,HPProLiant,Server,,
25,10.128.200.81,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD50,"",Embedded,10.128.200.81,176212049,HP,,,"",12,1,,ILO2,MgmtProc,,
26,USE006XD50,ProLiant BL685c G6,"",0,,0,"",USE006XD50,"","",,,"",,,"",1,1,,HPProLiant,Server,,
27,10.128.200.71,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O979MU2058,"",Embedded,10.128.200.71,176212039,HP,,,"",12,1,,OA,MgmtProc,,
28,WDC-E09-BC1,BladeSystem c7000 Enclosure,9,0,,0,"",USE7436XA7,001985,"",,,"",,,"",14,1,,ServerEnc,Enclosure,,
29,10.128.200.72,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O979MU0904,"","",10.128.200.72,176212040,"",,,"",12,5,,OA,MgmtProc,,
30,10.128.200.63,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE74576LM,"",Embedded,10.128.200.63,176212031,HP,,,"",12,1,,ILO2,MgmtProc,,
31,10.128.200.64,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE738666F,"",Embedded,10.128.200.64,176212032,HP,,,"",12,1,,ILO2,MgmtProc,,
32,10.128.200.65,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7153W2A,"",Embedded,10.128.200.65,176212033,HP,,,"",12,1,,ILO2,MgmtProc,,
33,10.128.200.66,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE8038F5N,"",Embedded,10.128.200.66,176212034,HP,,,"",12,1,,ILO2,MgmtProc,,
34,10.128.200.95,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE852JLC5,"",Embedded,10.128.200.95,176212063,HP,,,"",12,1,,ILO2,MgmtProc,,
35,10.128.200.96,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILON388MK2284,"",Embedded,10.128.200.96,176212064,HP,,,"",12,1,,ILO2,MgmtProc,,
36,10.128.200.97,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILO3H73MK0677,"",Embedded,10.128.200.97,176212065,HP,,,"",12,1,,ILO2,MgmtProc,,
37,10.128.200.98,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE7153W29,"",Embedded,10.128.200.98,176212066,HP,,,"",12,1,,ILO2,MgmtProc,,
38,FOC1140T11L,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1140T11L,"","",,,"",,,"",8,1,,c-Class,Switch,,
39,FOC1233T199,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1233T199,"","",,,"",,,"",8,1,,c-Class,Switch,,
40,TWT838V07B,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT838V07B,"","",,,"",,,"",8,1,,c-Class,Switch,,
41,TWT838V0VK,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT838V0VK,"","",,,"",,,"",8,1,,c-Class,Switch,,
42,wdc-fab1sw79,Brocade 4/12 SAN Switch for HP c-Class BladeSystem,"",0,,0,"",CN8742600Z,"","",10.128.201.66,176212290,"",,,"",8,1,,c-Class,Switch,,
43,wdc-fab2sw79,Brocade 4/12 SAN Switch for HP c-Class BladeSystem,"",0,,0,"",CN8731602A,"","",10.128.201.67,176212291,"",,,"",8,1,,c-Class,Switch,,
44,wdc-e09-bc1_09USE7436XA7,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
45,wdc-labmanager1-1,ProLiant BL685c G1,"",4,,0,"",USE74576LM,Asset Tag: unknown,VMware ESX,10.128.68.21,176178197,VMware,-1,,"",1,1,,HPProLiant,Server,,
46,wdc-labmanager1-2,ProLiant BL685c G1,"",4,,0,"",USE738666F,Asset Tag: unknown,VMware ESX,10.128.68.22,176178198,VMware,-1,,"",1,1,,HPProLiant,Server,,
47,wdc-devtest2-1,ProLiant BL685c G1,"",4,,0,"",USE7153W2A,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.67,176178243,VMware,-1,,"",1,5,,VMHost,Server,,
48,wdc-devtest2-2,ProLiant BL685c G1,"",4,,0,"",USE8038F5N,Asset Tag: unknown,VMware ESX,10.128.68.68,176178244,VMware,-1,,"",1,1,,HPProLiant,Server,,
49,redwood-dev1-1-vmotion,ProLiant BL680c G5,"",4,,0,"",USE852JLC5,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.79,176178255,VMware,-1,,"",1,1,,VMHost,Server,,
50,redwood-dev1-2,ProLiant BL680c G5,"",4,,0,"",N388MK2284,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.80,176178256,VMware,-1,,"",1,1,,VMHost,Server,,
51,wdc-labmanager1-3,ProLiant BL685c G1,"",4,,0,"",3H73MK0677,Asset Tag: unknown,VMware ESX,10.128.68.83,176178259,VMware,-1,,"",1,1,,HPProLiant,Server,,
52,wdc-labmanager1-4,ProLiant BL685c G1,"",4,,0,"",USE7153W29,Asset Tag: unknown,VMware ESX,10.128.68.84,176178260,VMware,-1,,"",1,1,,HPProLiant,Server,,
53,10.128.200.79,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4P,"",Embedded,10.128.200.79,176212047,HP,,,"",12,1,,ILO2,MgmtProc,,
54,USE006XD4P,ProLiant BL685c G6,"",0,,0,"",USE006XD4P,"","",,,"",,,"",1,1,,HPProLiant,Server,,
55,10.128.200.86,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4R,"",Embedded,10.128.200.86,176212054,HP,,,"",12,1,,ILO2,MgmtProc,,
56,USE006XD4R,ProLiant BL685c G6,"",0,,0,"",USE006XD4R,"","",,,"",,,"",1,1,,HPProLiant,Server,,
57,10.128.200.73,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE852JLCB,"",Embedded,10.128.200.73,176212041,HP,,,"",12,1,,ILO2,MgmtProc,,
58,wdc-devtest3-1-vmotion,ProLiant BL680c G5,"",4,,0,"",USE852JLCB,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.77,176178253,VMware,-1,,"",1,1,,VMHost,Server,,
59,10.128.200.85,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4N,"",Embedded,10.128.200.85,176212053,HP,,,"",12,1,,ILO2,MgmtProc,,
60,USE006XD4N,ProLiant BL685c G6,"",0,,0,"",USE006XD4N,"","",,,"",,,"",1,1,,HPProLiant,Server,,
61,10.128.200.75,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB9BBP5353,"",Embedded,10.128.200.75,176212043,HP,,,"",12,1,,OA,MgmtProc,,
62,wdc-e08-bc1,BladeSystem c7000 Enclosure G2,9,0,,0,"",SGH005P1EH,"","",,,"",,,"",14,1,,ServerEnc,Enclosure,,
63,10.128.200.76,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB9CBP7397,"",Embedded,10.128.200.76,176212044,HP,,,"",12,1,,OA,MgmtProc,,
64,10.128.200.80,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4J,"",Embedded,10.128.200.80,176212048,HP,,,"",12,1,,ILO2,MgmtProc,,
65,10.128.200.82,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4H,"",Embedded,10.128.200.82,176212050,HP,,,"",12,1,,ILO2,MgmtProc,,
66,10.128.200.84,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4T,"",Embedded,10.128.200.84,176212052,HP,,,"",12,1,,ILO2,MgmtProc,,
67,10.128.201.234,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1351T088,"","",10.128.201.234,176212458,"",,,"",8,1,,c-Class,Switch,,
68,10.128.201.241,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1351T0B3,"","",10.128.201.241,176212465,"",,,"",8,1,,c-Class,Switch,,
69,TWT944V04K,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT944V04K,"","",,,"",,,"",8,1,,c-Class,Switch,,
70,TWT944V03Z,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT944V03Z,"","",,,"",,,"",8,1,,c-Class,Switch,,
71,10.128.200.156,HP B-series 8/24c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8948B0DS,"","",10.128.200.156,176212124,"",,,"",8,1,,c-Class,Switch,,
72,10.128.200.157,HP B-series 8/24c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8948B08B,"","",10.128.200.157,176212125,"",,,"",8,1,,c-Class,Switch,,
73,UAT,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
74,USE006XD4J,ProLiant BL685c G6,"",0,,0,"",USE006XD4J,"","",,,"",,,"",1,1,,HPProLiant,Server,,
75,USE006XD4H,ProLiant BL685c G6,"",0,,0,"",USE006XD4H,"","",,,"",,,"",1,1,,HPProLiant,Server,,
76,USE006XD4T,ProLiant BL685c G6,"",0,,0,"",USE006XD4T,"","",,,"",,,"",1,1,,HPProLiant,Server,,
77,10.128.200.77,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB9BBP5548,"",Embedded,10.128.200.77,176212045,HP,,,"",12,1,,OA,MgmtProc,,
78,wdc-e07-bc1,BladeSystem c7000 Enclosure G2,9,0,,0,"",SGH005P1EF,"","",,,"",,,"",14,1,,ServerEnc,Enclosure,,
79,10.128.200.78,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB9CBP8495,"",Embedded,10.128.200.78,176212046,HP,,,"",12,1,,OA,MgmtProc,,
80,10.128.200.87,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4M,"",Embedded,10.128.200.87,176212055,HP,,,"",12,1,,ILO2,MgmtProc,,
81,10.128.200.88,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4L,"",Embedded,10.128.200.88,176212056,HP,,,"",12,1,,ILO2,MgmtProc,,
82,10.128.200.89,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4W,"",Embedded,10.128.200.89,176212057,HP,,,"",12,1,,ILO2,MgmtProc,,
83,10.128.200.90,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4X,"",Embedded,10.128.200.90,176212058,HP,,,"",12,1,,ILO2,MgmtProc,,
84,10.128.200.91,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD51,"",Embedded,10.128.200.91,176212059,HP,,,"",12,1,,ILO2,MgmtProc,,
85,10.128.200.92,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4K,"",Embedded,10.128.200.92,176212060,HP,,,"",12,1,,ILO2,MgmtProc,,
86,10.128.200.93,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4Y,"",Embedded,10.128.200.93,176212061,HP,,,"",12,1,,ILO2,MgmtProc,,
87,10.128.200.94,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE006XD4V,"",Embedded,10.128.200.94,176212062,HP,,,"",12,1,,ILO2,MgmtProc,,
88,10.128.201.236,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1351T026,"","",10.128.201.236,176212460,"",,,"",8,1,,c-Class,Switch,,
89,10.128.201.248,Cisco Catalyst Blade Switch 3020 for HP,"",0,,0,"",FOC1351T03X,"","",10.128.201.248,176212472,"",,,"",8,1,,c-Class,Switch,,
90,TWT944V006,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT944V006,"","",,,"",,,"",8,1,,c-Class,Switch,,
91,TWT944V0CN,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT944V0CN,"","",,,"",,,"",8,1,,c-Class,Switch,,
92,10.128.200.154,HP B-series 8/24c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8948B0C4,"","",10.128.200.154,176212122,"",,,"",8,1,,c-Class,Switch,,
93,10.128.200.155,HP B-series 8/24c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8951B017,"","",10.128.200.155,176212123,"",,,"",8,1,,c-Class,Switch,,
94,USE006XD4M,ProLiant BL685c G6,"",0,,0,"",USE006XD4M,"","",,,"",,,"",1,3,,HPProLiant,Server,,
95,USE006XD4L,ProLiant BL685c G6,"",0,,0,"",USE006XD4L,"","",,,"",,,"",1,1,,HPProLiant,Server,,
96,USE006XD4W,ProLiant BL685c G6,"",0,,0,"",USE006XD4W,"","",,,"",,,"",1,1,,HPProLiant,Server,,
97,USE006XD4X,ProLiant BL685c G6,"",0,,0,"",USE006XD4X,"","",,,"",,,"",1,1,,HPProLiant,Server,,
98,USE006XD51,ProLiant BL685c G6,"",0,,0,"",USE006XD51,"","",,,"",,,"",1,1,,HPProLiant,Server,,
99,USE006XD4K,ProLiant BL685c G6,"",0,,0,"",USE006XD4K,"","",,,"",,,"",1,1,,HPProLiant,Server,,
100,USE006XD4Y,ProLiant BL685c G6,"",0,,0,"",USE006XD4Y,"","",,,"",,,"",1,1,,HPProLiant,Server,,
101,USE006XD4V,ProLiant BL685c G6,"",0,,0,"",USE006XD4V,"","",,,"",,,"",1,1,,HPProLiant,Server,,
102,10.128.200.101,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB09BK6417,"",Embedded,10.128.200.101,176212069,HP,,,"",12,1,,OA,MgmtProc,,
103,wdc-e06-bc1,BladeSystem c7000 Enclosure G2,9,0,,0,"",SGH051P7SV,"","",,,"",,,"",14,1,,ServerEnc,Enclosure,,
104,10.128.200.102,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB0BBK5524,"",Embedded,10.128.200.102,176212070,HP,,,"",12,1,,OA,MgmtProc,,
105,wdc-e06-bc1_vc_domain,HP Virtual Connect Domain,"",0,,0,"","","","",,,"",,,"",29,0,,c-Class,VCDomain,,
106,10.128.201.233,HP VC Flex-10 Enet Module,"",0,,0,"",3C40430053,"","",10.128.201.233,176212457,"",,,"",8,1,,c-Class,Switch,,
107,10.128.201.240,HP VC Flex-10 Enet Module,"",0,,0,"",3C40430054,"","",10.128.201.240,176212464,"",,,"",8,1,,c-Class,Switch,,
108,10.128.200.112,HP B-series 8/12c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8038A03S,"","",10.128.200.112,176212080,"",,,"",8,1,,c-Class,Switch,,
109,10.128.200.113,HP B-series 8/12c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8038A05B,"","",10.128.200.113,176212081,"",,,"",8,1,,c-Class,Switch,,
110,10.128.200.122,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE05158E5,"",Embedded,10.128.200.122,176212090,HP,,,"",12,1,,ILO3,MgmtProc,,
111,10.128.200.117,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE05158E6,"",Embedded,10.128.200.117,176212085,HP,,,"",12,1,,ILO3,MgmtProc,,
112,10.128.200.128,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE05158EA,"",Embedded,10.128.200.128,176212096,HP,,,"",12,1,,ILO3,MgmtProc,,
113,10.128.200.129,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE05158EF,"",Embedded,10.128.200.129,176212097,HP,,,"",12,1,,ILO3,MgmtProc,,
114,wdc-e06,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
115,wdc-devtest4-9,ProLiant BL685c G7,"",4,,0,"",USE05158E5,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.99,176178275,VMware,-1,,"",1,1,,VMHost,Server,,
116,wdc-devtest4-11,ProLiant BL685c G7,"",4,,0,"",USE05158EB,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.101,176178277,VMware,-1,,"",1,1,,VMHost,Server,,
117,wdc-devtest4-13,ProLiant BL685c G7,"",4,,0,"",USE05158EC,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.103,176178279,VMware,-1,,"",1,1,,VMHost,Server,,
118,wdc-devtest4-15,ProLiant BL685c G7,"",4,,0,"",USE05158EA,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.105,176178281,VMware,-1,,"",1,1,,VMHost,Server,,
119,wdc-devtest4-16,ProLiant BL685c G7,"",4,,0,"",USE05158EF,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.106,176178282,VMware,-1,,"",1,1,,VMHost,Server,,
120,10.128.200.99,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB09BK5578,"",Embedded,10.128.200.99,176212067,HP,,,"",12,1,,OA,MgmtProc,,
121,wdc-e05-bc1,BladeSystem c7000 Enclosure G2,9,0,,0,"",SGH051P7ST,"","",,,"",,,"",14,1,,ServerEnc,Enclosure,,
122,10.128.200.100,BladeSystem c7000 DDR2 Onboard Administrator with KVM,"",0,,0,"",OB0BBK5473,"",Embedded,10.128.200.100,176212068,HP,,,"",12,1,,OA,MgmtProc,,
123,wdc-e05-bc1_vc_domain,HP Virtual Connect Domain,"",0,,0,"","","","",,,"",,,"",29,0,,c-Class,VCDomain,,
124,10.128.200.106,HP VC Flex-10 Enet Module,"",0,,0,"",3C4043004B,"","",10.128.200.106,176212074,"",,,"",8,1,,c-Class,Switch,,
125,10.128.200.107,HP VC Flex-10 Enet Module,"",0,,0,"",3C4043004D,"","",10.128.200.107,176212075,"",,,"",8,1,,c-Class,Switch,,
126,10.128.200.111,HP B-series 8/12c SAN Switch BladeSystem c-Class,"",0,,0,"",CN8038A05X,"","",10.128.200.111,176212079,"",,,"",8,1,,c-Class,Switch,,
127,10.128.200.116,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE05158EH,"",Embedded,10.128.200.116,176212084,HP,,,"",12,1,,ILO3,MgmtProc,,
128,10.128.200.118,Integrated Lights-Out 3 (iLO 3),"",0,,0,"",ILOUSE05158EK,"",Embedded,10.128.200.118,176212086,HP,,,"",12,1,,ILO3,MgmtProc,,
129,wdc-e06_09SGH051P7ST,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
130,wdc-devtest4-public-vmotion,ProLiant BL685c G7,"",4,,0,"",USE05158EE,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.91,176178267,VMware,-1,,"",1,1,,VMHost,Server,,
131,wdc-devtest4-2,ProLiant BL685c G7,"",4,,0,"",USE05158ED,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.92,176178268,VMware,-1,,"",1,1,,VMHost,Server,,
132,wdc-devtest4-3,ProLiant BL685c G7,"",4,,0,"",USE05158EH,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.93,176178269,VMware,-1,,"",1,1,,VMHost,Server,,
133,wdc-devtest4-5,ProLiant BL685c G7,"",4,,0,"",USE05158EK,Asset Tag: unknown,VMware ESXi Alternate Boot Bank,10.128.68.95,176178271,VMware,-1,,"",1,1,,VMHost,Server,,
134,sc9-i6-oa2a,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O97BMU5076,"",Embedded,10.113.74.23,175196695,HP,,,"",12,1,,OA,MgmtProc,,
135,sc9-i6-2,BladeSystem c7000 Enclosure,9,0,,0,"",USE80287R4,"","",,,"",,,"",14,1,,ServerEnc,Enclosure,,
136,sc9-i6-oa2b,BladeSystem c7000 Onboard Administrator,"",0,,0,"",O982MP0344,"",Embedded,10.113.74.24,175196696,HP,,,"",12,1,,OA,MgmtProc,,
137,ora-prod-ebs-r2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE923MM8N,"",Embedded,10.113.74.26,175196698,HP,,,"",12,1,,ILO2,MgmtProc,,
138,ora-prod-ebs-ccm-2-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80996C0,"",Embedded,10.113.74.28,175196700,HP,,,"",12,1,,ILO2,MgmtProc,,
139,sc9-prod-ebiz1-5-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80996AP,"",Embedded,10.113.74.44,175196716,HP,,,"",12,1,,ILO2,MgmtProc,,
140,sc9-prod-ebiz1-6-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80996B4,"",Embedded,10.113.74.47,175196719,HP,,,"",12,1,,ILO2,MgmtProc,,
141,sc9-prod-ebiz1-7-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80996C2,"",Embedded,10.113.74.50,175196722,HP,,,"",12,1,,ILO2,MgmtProc,,
142,sc9-prod-ebiz1-8-ilo,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE80996C6,"",Embedded,10.113.74.53,175196725,HP,,,"",12,1,,ILO2,MgmtProc,,
143,10.113.74.58,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE8099653,"",Embedded,10.113.74.58,175196730,HP,,,"",12,1,,ILO2,MgmtProc,,
144,10.113.74.59,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE809964K,"",Embedded,10.113.74.59,175196731,HP,,,"",12,1,,ILO2,MgmtProc,,
145,10.113.74.60,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE8099650,"",Embedded,10.113.74.60,175196732,HP,,,"",12,1,,ILO2,MgmtProc,,
146,10.113.74.170,Integrated Lights-Out 2 (iLO 2),"",0,,0,"",ILOUSE8099654,"",Embedded,10.113.74.170,175196842,HP,,,"",12,1,,ILO2,MgmtProc,,
147,TWT804V0G0,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT804V0G0,"","",,,"",,,"",8,1,,c-Class,Switch,,
148,TWT803V1G0,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT803V1G0,"","",,,"",,,"",8,1,,c-Class,Switch,,
149,TWT802V05L,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT802V05L,"","",,,"",,,"",8,1,,c-Class,Switch,,
150,TWT802V042,HP 1Gb Ethernet Pass-Thru Module for c-Class BladeSystem,"",0,,0,"",TWT802V042,"","",,,"",,,"",8,1,,c-Class,Switch,,
151,TWT805V01R,HP 4Gb Fibre Channel Pass-thru Module for c-Class BladeSystem,"",0,,0,"",TWT805V01R,"","",,,"",,,"",8,1,,c-Class,Switch,,
152,TWT750V02C,HP 4Gb Fibre Channel Pass-thru Module for c-Class BladeSystem,"",0,,0,"",TWT750V02C,"","",,,"",,,"",8,1,,c-Class,Switch,,
153,TWT750V03N,HP 4Gb Fibre Channel Pass-thru Module for c-Class BladeSystem,"",0,,0,"",TWT750V03N,"","",,,"",,,"",8,1,,c-Class,Switch,,
154,EBIZ_09USE80287R4,Rack,"",0,,0,"","","","",,,"",,,"",13,0,,c-Class daisy-chained,Rack,,
155,USE923MM8N,ProLiant BL685c G6,"",0,,0,"",USE923MM8N,"","",,,"",,,"",1,1,,HPProLiant,Server,,
156,USE80996C0,ProLiant BL680c G5,"",0,,0,"",USE80996C0,"","",,,"",,,"",1,3,,HPProLiant,Server,,
157,USE80996AP,ProLiant BL680c G5,"",0,,0,"",USE80996AP,"","",,,"",,,"",1,1,,HPProLiant,Server,,
158,USE80996B4,ProLiant BL680c G5,"",0,,0,"",USE80996B4,"","",,,"",,,"",1,3,,HPProLiant,Server,,
159,USE80996C2,ProLiant BL680c G5,"",0,,0,"",USE80996C2,"","",,,"",,,"",1,1,,HPProLiant,Server,,
160,USE80996C6,ProLiant BL680c G5,"",0,,0,"",USE80996C6,"","",,,"",,,"",1,1,,HPProLiant,Server,,
